GameId,ClarifyingQuestion,InitializedWorldPath,InputInstruction,IsInstructionClear,Partition,qrel,qbank
CQ-game-1007,,initial_world_states/builder-data/30-c96/step-10,Facing east place a green block in the top right corner. On top of it to its left and in front of it place one green block. The structure should look similar to the yellow structure.,Yes,train,,
CQ-game-1008,,initial_world_states/builder-data/31-c96/step-14,facing west place a row of three yellow blocks on the bottom left of the purple blocksfacing west place a row of three green blocks on top of the yellow blocks,Yes,train,,
CQ-game-1009,,initial_world_states/builder-data/11-c92/step-12,facing north destroy the four red blocks,Yes,train,,
CQ-game-1009,,initial_world_states/builder-data/11-c92/step-12,facing north destroy the four red blocks,Yes,train,,
CQ-game-1009,,initial_world_states/builder-data/11-c92/step-12,facing north destroy the four red blocks,Yes,train,,
CQ-game-1010,,initial_world_states/builder-data/2-c136/step-26,Locate the sole purple block that is apart of the L-shape purple block structure and place a row of two green blocks right next to it on its south side. Then build a row of two orange blocks right next to the last built blue block on its west side the last orange block will meet the southern purple block of the L-shaped structure.,Yes,train,,
CQ-game-1011,in any square west of the red blocks?,initial_world_states/builder-data/1-c92/step-16,Stack seven green blocks immediately to the west of the west most blocks.,No,train,q_111,"'q_101', 'q_186', 'q_878', 'q_188', 'q_198', 'q_769', 'q_795', 'q_774', 'q_728', 'q_757', 'q_419', 'q_312', 'q_493', 'q_925', 'q_590', 'q_69', 'q_327', 'q_232', 'q_807', 'q_318', 'q_308', 'q_290', 'q_634', 'q_726', 'q_459', 'q_353', 'q_452', 'q_623', 'q_335', 'q_111', 'q_918', 'q_359', 'q_529', 'q_105', 'q_2', 'q_504', 'q_471', 'q_917', 'q_673', 'q_904', 'q_964', 'q_788', 'q_543', 'q_230', 'q_284', 'q_277', 'q_710', 'q_616', 'q_876', 'q_121', 'q_134', 'q_27', 'q_857', 'q_170', 'q_377', 'q_584', 'q_902', 'q_478', 'q_573', 'q_687', 'q_74', 'q_944', 'q_258', 'q_328', 'q_369', 'q_394', 'q_938', 'q_652', 'q_371', 'q_302', 'q_138', 'q_164', 'q_920', 'q_432', 'q_301', 'q_140', 'q_206', 'q_737', 'q_262', 'q_535', 'q_530', 'q_791', 'q_885', 'q_664', 'q_754', 'q_656', 'q_229', 'q_88', 'q_688', 'q_611', 'q_228', 'q_37', 'q_473', 'q_875', 'q_679', 'q_817', 'q_744', 'q_713', 'q_12', 'q_846', 'q_211', 'q_697', 'q_594', 'q_868', 'q_437', 'q_0', 'q_525', 'q_383', 'q_606', 'q_234', 'q_605', 'q_716', 'q_540', 'q_957', 'q_703', 'q_550', 'q_300', 'q_404', 'q_40', 'q_911', 'q_507', 'q_718', 'q_894', 'q_78', 'q_982', 'q_501', 'q_871', 'q_660', 'q_781', 'q_580', 'q_565', 'q_927', 'q_778', 'q_882', 'q_71', 'q_240', 'q_898', 'q_553', 'q_651', 'q_558', 'q_887', 'q_456', 'q_152', 'q_428', 'q_491', 'q_54', 'q_389', 'q_537', 'q_268', 'q_115', 'q_442', 'q_682', 'q_344', 'q_582', 'q_499', 'q_633', 'q_896', 'q_10', 'q_296', 'q_93', 'q_488', 'q_470', 'q_968', 'q_595', 'q_73', 'q_288'"
CQ-game-1012,,initial_world_states/builder-data/14-c59/step-26,Place three yellow blocks to the west of the north-most orange block horizontally.,Yes,train,,
CQ-game-1013,,initial_world_states/builder-data/5-c136/step-14,Place a red block against the east side of the uppermost blue block. Place an orange block on the east side of the red block. Place a yellow block on the east side of the orange block.,Yes,train,,
CQ-game-1014,,initial_world_states/builder-data/2-c127/step-8,Destroy the bottom row of four blocks and replace them with purple blocks.,Yes,train,,
CQ-game-1016,,initial_world_states/builder-data/11-c92/step-8,facing north place two yellow blocks under the two red blocks on the leftfacing north place two yellow blocks above the two red blocks on the left,Yes,train,,
CQ-game-1017,,initial_world_states/builder-data/10-c97/step-4,Go to the west side of the grid. In the center place a blue block. Place another blue block on top of the first. Stack two purple blocks on the blue stack.,Yes,train,,
CQ-game-1018,,initial_world_states/builder-data/32-c135/step-2,Add four purple blocks to the top of the existing purple tower.,Yes,train,,
CQ-game-1019,,initial_world_states/builder-data/4-c96/step-14,destroy all green blocks replace them with yellow blocksfacing east destroy all yellow blocks on the left replace them with green blocks,Yes,train,,
CQ-game-102,,initial_world_states/builder-data/52-c135/step-2,Stack five purple blocks in the middle of the grid.,Yes,train,,
CQ-game-1020,Should I destory east or west puyrple?,initial_world_states/builder-data/2-c136/step-38,Facing north place one purple block to the left and one to the right of the highest red block. Destroy the purple block situated to the right of the rightmost purple tower. Place a purple block right in front of the lowest block of the rightmost purple tower.,No,train,q_653,"'q_659', 'q_635', 'q_980', 'q_380', 'q_804', 'q_668', 'q_519', 'q_391', 'q_277', 'q_407', 'q_878', 'q_633', 'q_948', 'q_568', 'q_100', 'q_16', 'q_393', 'q_482', 'q_587', 'q_814', 'q_753', 'q_119', 'q_588', 'q_250', 'q_942', 'q_761', 'q_382', 'q_830', 'q_676', 'q_977', 'q_513', 'q_756', 'q_169', 'q_723', 'q_392', 'q_971', 'q_619', 'q_4', 'q_194', 'q_449', 'q_133', 'q_646', 'q_117', 'q_45', 'q_533', 'q_689', 'q_719', 'q_307', 'q_466', 'q_563', 'q_956', 'q_729', 'q_249', 'q_131', 'q_627', 'q_749', 'q_711', 'q_785', 'q_763', 'q_748', 'q_158', 'q_628', 'q_343', 'q_740', 'q_5', 'q_648', 'q_486', 'q_782', 'q_867', 'q_452', 'q_601', 'q_764', 'q_618', 'q_500', 'q_682', 'q_411', 'q_708', 'q_82', 'q_24', 'q_713', 'q_731', 'q_143', 'q_48', 'q_964', 'q_675', 'q_669', 'q_824', 'q_15', 'q_241', 'q_872', 'q_803', 'q_402', 'q_344', 'q_497', 'q_505', 'q_230', 'q_311', 'q_704', 'q_936', 'q_925', 'q_425', 'q_793', 'q_841', 'q_293', 'q_884', 'q_602', 'q_170', 'q_579', 'q_561', 'q_595', 'q_852', 'q_36', 'q_386', 'q_467', 'q_137', 'q_724', 'q_430', 'q_451', 'q_524', 'q_810', 'q_278', 'q_982', 'q_489', 'q_14', 'q_894', 'q_610', 'q_461', 'q_946', 'q_218', 'q_681', 'q_185', 'q_75', 'q_917', 'q_606', 'q_899', 'q_604', 'q_660', 'q_575', 'q_817', 'q_479', 'q_647', 'q_653', 'q_826', 'q_356', 'q_269', 'q_722', 'q_262', 'q_63', 'q_338', 'q_472', 'q_915', 'q_379', 'q_926', 'q_242', 'q_772', 'q_488', 'q_350', 'q_570', 'q_441', 'q_593', 'q_173', 'q_922', 'q_64', 'q_314', 'q_220', 'q_210'"
CQ-game-1021,,initial_world_states/builder-data/2-c116/step-18,Facing West place a blue block to the right of the bottommost blue block. Facing South place a row of three orange blocks between the blue block and the green block.,Yes,train,,
CQ-game-1023,,initial_world_states/builder-data/16-c96/step-14,facing east place 8 green blocks on the bottom between the yellow blocks and the green blocks in the corner,Yes,train,,
CQ-game-1024,,initial_world_states/builder-data/14-c55/step-4,Place an orange tower 5 blocks high in the southwest corner. Do the same with red in the southeast.,Yes,train,,
CQ-game-1025,,initial_world_states/builder-data/6-c92/step-12,Facing north destroy the two green vertical blocks on the left side.,Yes,train,,
CQ-game-1026,,initial_world_states/builder-data/19-c126/step-10,Locate the red block on the top row of the eastern column of the structure and place a blue block right on top of it. Then place a yellow block right on top of the blue block that was just built. Proceed to place a row of 3 yellow blocks right next to the yellow block just built on its west side. Finally place a blue block right at the bottom of the last yellow block that was built.,Yes,train,,
CQ-game-1027,,initial_world_states/builder-data/30-c73/step-2,Facing East destroy the two cubes at the top.Add one orange cube on top of the green one.Add a purple cube on top of the orange one.,Yes,train,,
CQ-game-1028,,initial_world_states/builder-data/14-c58/step-10,Facing north place horizontally four orange blocks in front of the blue blocks. In front of these place four blue blocks. In front of this blue row place four more orange blocks in a row. The structure should look like a 4x4 square.,Yes,train,,
CQ-game-1029,,initial_world_states/builder-data/8-c96/step-10,Facing North place a row of three red blocks to the left of the bottommost yellow block. Facing East place a row of three red blocks to the right of the bottommost yellow block. Place a red block on top of the yellow column.,Yes,train,,
CQ-game-1030,,initial_world_states/builder-data/33-c135/step-2,Facing north destroy the five vertical violet blocks.,Yes,train,,
CQ-game-1032,,initial_world_states/builder-data/11-c97/step-6,Locate the blue block on the south most part of the structure and place a green block right next to it on its south side. Then proceed to place two rows of four green blocks right next to the green block just built: one row on the west side and one row at the east side.,Yes,train,,
CQ-game-1033,,initial_world_states/builder-data/30-c96/step-12,Destroy all of the blue and red blocks.Now replicate the existing yellow structure in each corner of the map.,Yes,train,,
CQ-game-1034,,initial_world_states/builder-data/23-c97/step-2,Place an orange block on top of each red block. Place an orange block between the two rows of red blocks.,Yes,train,,
CQ-game-1035,,initial_world_states/builder-data/1-c92/step-18,Replace all red blocks with orange ones and replace all green blocks with red.,Yes,train,,
CQ-game-1036,,initial_world_states/builder-data/22-c139/step-10,Break the red block. Break the uppermost western blue block. Break the uppermost eastern blue block.,Yes,train,,
CQ-game-1037,,initial_world_states/builder-data/3-c116/step-2,facing west destroy the four blue blocks.,Yes,train,,
CQ-game-1039,,initial_world_states/builder-data/2-c139/step-12,Stack two blue blocks on top of both the middle and west most purple blocks.,Yes,train,,
CQ-game-104,,initial_world_states/builder-data/31-c73/step-10,Facing north remove the two green blocks that are in the bottom and pointing to west. Next place a blue block on top of the green column that is closest to the east.,Yes,train,,
CQ-game-1040,,initial_world_states/builder-data/3-c136/step-18,Facing north destroy the three yellow vertical blocks.,Yes,train,,
CQ-game-1042,,initial_world_states/builder-data/1-c120/step-2,"Facing north place horizontally two orange blocks to the left of the orange tower. To the left of the leftmost orange block build a tower of 6 orange blocks. The structure should have a ""U"" form.",Yes,train,,
CQ-game-1043,,initial_world_states/builder-data/52-c127/step-18,Stack four red blocks immediately to the south of both the west most and east most yellow blocks. Then break the first and third red blocks from the bottom from both red stacks.,Yes,train,,
CQ-game-1044,,initial_world_states/builder-data/30-c96/step-4,Facing north destroy the two vertical yellow blocks.,Yes,train,,
CQ-game-1045,,initial_world_states/builder-data/2-c139/step-8,Facing north destroy the three vertical violet blocks on the right side.,Yes,train,,
CQ-game-1047,,initial_world_states/builder-data/31-c73/step-4,Looking East destroy the vertical green cubes leaving only three horizontally.Looking East add one blue cube to the right of each green cube.,Yes,train,,
CQ-game-1048,,initial_world_states/builder-data/4-c96/step-12,Place an orange block in the middle of the map. Then place an orange block on every side of it.,Yes,train,,
CQ-game-1049,,initial_world_states/builder-data/29-c97/step-2,Locate the gap between the two rows of two red blocks on the area and place a green block on it. Then build a a column of three green blocks right on top of the green block that was just built. Finally place two rows of two green blocks right next to the last built green block: one on its west side and one on its east side.,Yes,train,,
CQ-game-1051,,initial_world_states/builder-data/34-c120/step-8,Stack four green blocks on top of the existing green blocks. Then break the third green block from the bottom.,Yes,train,,
CQ-game-1052,,initial_world_states/builder-data/14-c54/step-24,"Facing south place an yellow block to the right of the top right corner of the middle block and an yellow block to the bottom left of the middle block in order to form an ""X"" shape. On top of each yellow block place a blue block.",Yes,train,,
CQ-game-1053,,initial_world_states/builder-data/2-c135/step-8,Facing North place a row of three red blocks to the left of the purple block that is the uppermost block close to West. Place a red block on top and another below the red block that is the closest to West.,Yes,train,,
CQ-game-1054,,initial_world_states/builder-data/19-c126/step-16,destroy all the blocks in the map,Yes,train,,
CQ-game-1055,Where exactly am I placing the blue blocks?,initial_world_states/builder-data/8-c136/step-10,facing northdelete top 2 purple blocks on Right sidedelete bottom block of orange towerPlace 3 blue blocks towards SouthPlace 2 blue blocks on top of most north blue block next to orange tower,No,train,q_170,"'q_526', 'q_354', 'q_347', 'q_82', 'q_443', 'q_675', 'q_483', 'q_192', 'q_695', 'q_811', 'q_495', 'q_861', 'q_795', 'q_39', 'q_711', 'q_985', 'q_904', 'q_871', 'q_775', 'q_742', 'q_716', 'q_484', 'q_266', 'q_322', 'q_796', 'q_58', 'q_426', 'q_492', 'q_656', 'q_618', 'q_458', 'q_53', 'q_830', 'q_413', 'q_376', 'q_804', 'q_738', 'q_712', 'q_54', 'q_576', 'q_397', 'q_32', 'q_473', 'q_474', 'q_67', 'q_601', 'q_436', 'q_746', 'q_617', 'q_554', 'q_875', 'q_384', 'q_494', 'q_427', 'q_249', 'q_968', 'q_128', 'q_385', 'q_145', 'q_105', 'q_18', 'q_121', 'q_632', 'q_789', 'q_120', 'q_26', 'q_937', 'q_745', 'q_410', 'q_570', 'q_199', 'q_136', 'q_66', 'q_655', 'q_73', 'q_291', 'q_100', 'q_713', 'q_777', 'q_311', 'q_6', 'q_284', 'q_268', 'q_17', 'q_307', 'q_63', 'q_631', 'q_450', 'q_948', 'q_164', 'q_300', 'q_622', 'q_126', 'q_905', 'q_934', 'q_211', 'q_317', 'q_44', 'q_802', 'q_851', 'q_118', 'q_285', 'q_401', 'q_205', 'q_931', 'q_790', 'q_170', 'q_860', 'q_499', 'q_262', 'q_109', 'q_13', 'q_430', 'q_584', 'q_897', 'q_553', 'q_441', 'q_749', 'q_341', 'q_234', 'q_151', 'q_977', 'q_408', 'q_490', 'q_119', 'q_243', 'q_416', 'q_149', 'q_536', 'q_324', 'q_31', 'q_267', 'q_683', 'q_235', 'q_49', 'q_858', 'q_2', 'q_470', 'q_390', 'q_411', 'q_56', 'q_477', 'q_709', 'q_825', 'q_975', 'q_737', 'q_337', 'q_798', 'q_524', 'q_303', 'q_523', 'q_90', 'q_546', 'q_422', 'q_696', 'q_476', 'q_485', 'q_439', 'q_853', 'q_681', 'q_846', 'q_730', 'q_277', 'q_906', 'q_183', 'q_843'"
CQ-game-1056,,initial_world_states/builder-data/14-c58/step-6,Facing South place a purple block in the middle of the row that is closest to South. Place four purple blocks on top of the purple block. Facing West place a row of two red blocks to the right of the uppermost purple block.,Yes,train,,
CQ-game-1057,,initial_world_states/builder-data/2-c116/step-28,Replace all the blue blocks with orange ones.,Yes,train,,
CQ-game-1058,,initial_world_states/builder-data/13-c139/step-6,Facing north destroy the three vertical violet blocks on the right side.,Yes,train,,
CQ-game-1059,,initial_world_states/builder-data/11-c97/step-4,Facing north place an identical structure to the existing red one directly east of it using green.,Yes,train,,
CQ-game-106,,initial_world_states/builder-data/4-c96/step-4,Place an orange block on top of the red block. Place an orange block on top of the yellow block. Make a line of orange blocks to connect the first two placed.,Yes,train,,
CQ-game-1060,,initial_world_states/builder-data/14-c54/step-2,In the corner between South and East place a yellow block. Facing South place two orange blocks in front of the yellow block. Place two purple blocks on top of the yellow block.,Yes,train,,
CQ-game-1061,,initial_world_states/builder-data/29-c92/step-10,Replace the red blocks with purple ones and the green blocks with orange.,Yes,train,,
CQ-game-1062,,initial_world_states/builder-data/30-c73/step-6,Place a blue block on the highest green block. Place a purple block on top of the blue block. Place a blue block on top of the purple block. Place a blue block on the western side of the purple block.,Yes,train,,
CQ-game-1063,,initial_world_states/builder-data/3-c139/step-8,facing south destroy the three vertical violet blocks on the right side.,Yes,train,,
CQ-game-1064,,initial_world_states/builder-data/33-c135/step-16,Break the purple block in the center of the cross. Place a blue block in the center of the cross. Break the uppermost block of the cross. Break the lowermost block of the cross.,Yes,train,,
CQ-game-1065,,initial_world_states/builder-data/8-c96/step-6,facing north build a row of three green blocks in the right corner going from right to left,Yes,train,,
CQ-game-1066,,initial_world_states/builder-data/2-c97/step-4,On top of the existing red block place a blue one then yellow on top of that then green orange and purple.,Yes,train,,
CQ-game-1067,,initial_world_states/builder-data/8-c139/step-6,Facing north destroy the three violet vertical blocks on the right side.,Yes,train,,
CQ-game-1068,,initial_world_states/builder-data/29-c92/step-18,Facing north destroy the green blocks above the red block on the east side destroy the four red blocks to the east side destroy the green blocks that had no blocks underneath it.place two red block under the four red blocks to the west side these two red blocks should be next to each other place two red blocks on the east side next to the original red blocks.,Yes,train,,
CQ-game-1069,,initial_world_states/builder-data/14-c59/step-12,Facing South place a column of two purple blocks to the right of the red column. Place an orange block on top of the purple block. Place a red block to the right of the bottommost purple block. Place a blue block on top of the red block.,Yes,train,,
CQ-game-1070,,initial_world_states/builder-data/9-c118/step-2,place a row of three purple blocks on top of the yellow blocks,Yes,train,,
CQ-game-1071,What purple blocks? There are none only blue.,initial_world_states/builder-data/10-c27/step-12,Locate the highest purple block on the top of the purple column and place a column of two green blocks right on top of it. Then place a row of three green blocks right next to the last built green block on its west side. Proceed to build a green block right at the bottom of the last built green block.,No,train,q_479,"'q_344', 'q_635', 'q_577', 'q_241', 'q_552', 'q_644', 'q_639', 'q_791', 'q_539', 'q_640', 'q_565', 'q_458', 'q_533', 'q_2', 'q_762', 'q_384', 'q_730', 'q_277', 'q_461', 'q_757', 'q_61', 'q_360', 'q_731', 'q_965', 'q_842', 'q_585', 'q_707', 'q_462', 'q_515', 'q_664', 'q_232', 'q_163', 'q_912', 'q_55', 'q_93', 'q_645', 'q_479', 'q_229', 'q_596', 'q_836', 'q_821', 'q_0', 'q_908', 'q_221', 'q_797', 'q_524', 'q_540', 'q_23', 'q_913', 'q_795', 'q_259', 'q_668', 'q_678', 'q_627', 'q_977', 'q_555', 'q_845', 'q_743', 'q_919', 'q_11', 'q_276', 'q_442', 'q_681', 'q_253', 'q_983', 'q_816', 'q_655', 'q_955', 'q_240', 'q_792', 'q_767', 'q_626', 'q_310', 'q_584', 'q_796', 'q_648', 'q_426', 'q_316', 'q_208', 'q_880', 'q_813', 'q_279', 'q_800', 'q_54', 'q_703', 'q_846', 'q_293', 'q_558', 'q_393', 'q_984', 'q_850', 'q_5', 'q_986', 'q_273', 'q_504', 'q_622', 'q_459', 'q_65', 'q_68', 'q_839', 'q_628', 'q_81', 'q_716', 'q_333', 'q_334', 'q_859', 'q_175', 'q_328', 'q_319', 'q_685', 'q_419', 'q_324', 'q_806', 'q_131', 'q_172', 'q_695', 'q_362', 'q_802', 'q_606', 'q_457', 'q_251', 'q_35', 'q_31', 'q_819', 'q_774', 'q_256', 'q_248', 'q_440', 'q_331', 'q_675', 'q_772', 'q_56', 'q_470', 'q_301', 'q_238', 'q_964', 'q_402', 'q_193', 'q_940', 'q_327', 'q_235', 'q_325', 'q_489', 'q_337', 'q_672', 'q_572', 'q_749', 'q_16', 'q_508', 'q_108', 'q_814', 'q_541', 'q_396', 'q_826', 'q_748', 'q_827', 'q_177', 'q_359', 'q_961', 'q_201', 'q_755', 'q_394', 'q_429', 'q_34', 'q_317', 'q_817'"
CQ-game-1072,,initial_world_states/builder-data/14-c59/step-20,Place an orange block immediately to the east of the east most yellow block. Then place three red blocks under that orange block.,Yes,train,,
CQ-game-1073,,initial_world_states/builder-data/14-c54/step-20,Add one red block on top of each yellow block.,Yes,train,,
CQ-game-1074,,initial_world_states/builder-data/31-c96/step-2,Place a red block at the southwest corner of the grid. Then place a red block on every side of it.,Yes,train,,
CQ-game-1075,,initial_world_states/builder-data/14-c58/step-16,Facing east destroy the five horizontal blue blocks.,Yes,train,,
CQ-game-1077,,initial_world_states/builder-data/4-c92/step-8,Place two green blocks to the east of the top east most green block horizontally. Then place two green blocks under the east most block.,Yes,train,,
CQ-game-1078,,initial_world_states/builder-data/11-c27/step-4,Locate the purple block at the top of the structure and break it placing a blue block on its place. Then built two green blocks right next to the just built blue block: one on the west side and one on the east side. Proceed to place a column of two orage blocks right on top of the blue block built previously.,Yes,train,,
CQ-game-1079,,initial_world_states/builder-data/1-c127/step-2,Place four yellow blocks to the south of the highest block horizontally.,Yes,train,,
CQ-game-1080,,initial_world_states/builder-data/29-c92/step-2,Facing north destroy the three green blocks.,Yes,train,,
CQ-game-1082,,initial_world_states/builder-data/14-c51/step-12,Go to the east side of the grid. In the center of eastern side place a red block. Place an orange block on the red. Place a yellow block on the orange block. Place a green block on the yellow block.,Yes,train,,
CQ-game-1084,,initial_world_states/builder-data/6-c92/step-14,Facing north destroy the four red blocks on the right side.,Yes,train,,
CQ-game-1085,,initial_world_states/builder-data/14-c59/step-30,Facing south destroy the three horizontal green blocks.,Yes,train,,
CQ-game-1086,,initial_world_states/builder-data/14-c136/step-22,Locate the sole yellow block at the top of the structure and the gap right underneath it placing a green block on the gap. Then place a row of two green blocks right next to the just built green block on its north side. Proceed to build a column of two green blocks right at the bottom of the last built green block. Finally place another green block right next to the last built green block on its south side.,Yes,train,,
CQ-game-1087,,initial_world_states/builder-data/23-c135/step-6,Place four purple blocks to the south of the highest purple block of the column that's connected to the ground horizontally.,Yes,train,,
